"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 17:50:08 CST 2019","Thu Oct 24 17:50:28 CST 2019","20477","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_21取消保留额度","取消保留额度"
"passed","Thu Oct 24 17:55:54 CST 2019","Thu Oct 24 17:55:55 CST 2019","737","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_078分红默认文本","分红默认信息展示是否正确"
"broken","Thu Oct 24 17:55:08 CST 2019","Thu Oct 24 17:55:09 CST 2019","783","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_01查看万分收益显示是否正确","查看万分收益（元）显示是否正确"
"passed","Thu Oct 24 17:47:57 CST 2019","Thu Oct 24 17:47:59 CST 2019","2707","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-应急取款","Test_现金管理_智多鑫_应急取款","","","test_11应急取款确认框内容确认","应急取款确认框内容确认"
"passed","Thu Oct 24 17:55:55 CST 2019","Thu Oct 24 17:55:56 CST 2019","787","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_079交易费用默认文本","交易费用默认信息展示是否正确"
"passed","Thu Oct 24 18:06:42 CST 2019","Thu Oct 24 18:06:43 CST 2019","397","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-预约取款记录","Test_现金管理_添鑫宝_更多_预约记录测试用例","","","test_4记录状态为正常是否存在取消按钮","记录状态为正常，取消按钮是否存在"
"passed","Thu Oct 24 18:07:45 CST 2019","Thu Oct 24 18:07:47 CST 2019","2356","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-签约1-适当性1","Test_现金管理_添鑫宝_签约1_适当性1","","","test_1适当投资者签约适当性","适当投资者-签约适当性"
"passed","Thu Oct 24 17:56:59 CST 2019","Thu Oct 24 17:57:04 CST 2019","5622","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-预约取款","Test_现金管理_智多鑫_预约取款用例","","","test_3预约取款成功","预约取款成功"
"passed","Thu Oct 24 18:04:44 CST 2019","Thu Oct 24 18:04:57 CST 2019","13071","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-更多-设置","Test_现金管理_更多_设置页面测试用例","","","test_3点击预约取款按钮","点击预约取款按钮"
"passed","Thu Oct 24 17:55:58 CST 2019","Thu Oct 24 17:55:59 CST 2019","770","建投自动化测试.现金管理测试用例","test_现金管理-智多鑫-页面详情","Test_现金管理_智多鑫_详情页","","","test_084风险等级默认文本","风险等级默认信息展示是否正确"
"passed","Thu Oct 24 18:17:51 CST 2019","Thu Oct 24 18:17:52 CST 2019","745","建投自动化测试.现金管理测试用例","test_现金管理-添鑫宝-页面详情","Test_现金管理_添鑫宝_详情页","","","test_074预约取款默认文本","预约取款默认信息展示是否正确"
